斥岿,瘤痢,碍荐樊(mm)
Jan-94,版合,20.4
Feb-94,版合,15.6
Mar-94,版合,28.2
Apr-94,版合,32.6
May-94,版合,127.5
Jun-94,版合,126.8
Jul-94,版合,56.7
Aug-94,版合,102.8
Sep-94,版合,23.7
Oct-94,版合,127.2
Nov-94,版合,38.8
Dec-94,版合,6.5
Jan-95,版合,17
Feb-95,版合,12.4
Mar-95,版合,63.2
Apr-95,版合,63
May-95,版合,65.5
Jun-95,版合,64.6
Jul-95,版合,123.6
Aug-95,版合,309.3
Sep-95,版合,50.1
Oct-95,版合,33.6
Nov-95,版合,8.8
Dec-95,版合,1.3
Jan-96,版合,24.7
Feb-96,版合,9
Mar-96,版合,118
Apr-96,版合,53.2
May-96,版合,46.8
Jun-96,版合,303.6
Jul-96,版合,125.2
Aug-96,版合,109
Sep-96,版合,37.4
Oct-96,版合,45.6
Nov-96,版合,51.8
Dec-96,版合,23.4
Jan-97,版合,9.8
Feb-97,版合,14.8
Mar-97,版合,23.5
Apr-97,版合,53.5
May-97,版合,143.6
Jun-97,版合,150.2
Jul-97,版合,313.3
Aug-97,版合,164.4
Sep-97,版合,58.4
Oct-97,版合,5.3
Nov-97,版合,141.3
Dec-97,版合,57.2
Jan-98,版合,48.7
Feb-98,版合,43.4
Mar-98,版合,27.8
Apr-98,版合,135
May-98,版合,101.4
Jun-98,版合,207.6
Jul-98,版合,288.2
Aug-98,版合,386.4
Sep-98,版合,267.6
Oct-98,版合,67.5
Nov-98,版合,17.5
Dec-98,版合,12.7
Jan-99,版合,5.5
Feb-99,版合,15.4
Mar-99,版合,81.2
Apr-99,版合,103.6
May-99,版合,139.1
Jun-99,版合,181.2
Jul-99,版合,160
Aug-99,版合,313.6
Sep-99,版合,368.7
Oct-99,版合,66.8
Nov-99,版合,16.9
Dec-99,版合,2.5
Jan-00,版合,36.5
Feb-00,版合,0.3
Mar-00,版合,27.2
Apr-00,版合,43.3
May-00,版合,52.4
Jun-00,版合,132.9
Jul-00,版合,180.8
Aug-00,版合,268.3
Sep-00,版合,278.1
Oct-00,版合,25.7
Nov-00,版合,53.3
Dec-00,版合,4.3
Jan-01,版合,40.6
Feb-01,版合,58.3
Mar-01,版合,7.3
Apr-01,版合,15.1
May-01,版合,36.4
Jun-01,版合,241.5
Jul-01,版合,98.4
Aug-01,版合,57.2
Sep-01,版合,171.4
Oct-01,版合,119.4
Nov-01,版合,9.2
Dec-01,版合,20.7
Jan-02,版合,76.6
Feb-02,版合,1.1
Mar-02,版合,41.9
Apr-02,版合,123.6
May-02,版合,116.5
Jun-02,版合,31.1
Jul-02,版合,186.5
Aug-02,版合,584.3
Sep-02,版合,100.4
Oct-02,版合,46.9
Nov-02,版合,5.1
Dec-02,版合,45.9
Jan-03,版合,27.3
Feb-03,版合,47.3
Mar-03,版合,46.9
Apr-03,版合,173
May-03,版合,202.8
Jun-03,版合,194.1
Jul-03,版合,476.1
Aug-03,版合,289.7
Sep-03,版合,259
Oct-03,版合,19
Nov-03,版合,99.8
Dec-03,版合,12.8
Jan-04,版合,13.2
Feb-04,版合,21.7
Mar-04,版合,23.3
Apr-04,版合,95.6
May-04,版合,85.3
Jun-04,版合,261.6
Jul-04,版合,229.4
Aug-04,版合,352.7
Sep-04,版合,174.9
Oct-04,版合,8.9
Nov-04,版合,39.5
Dec-04,版合,21.2
Jan-05,版合,18.8
Feb-05,版合,24
Mar-05,版合,65.5
Apr-05,版合,47.6
May-05,版合,52
Jun-05,版合,132.8
Jul-05,版合,236.1
Aug-05,版合,283.2
Sep-05,版合,190
Oct-05,版合,32.7
Nov-05,版合,12.1
Dec-05,版合,2.7
Jan-06,版合,38.6
Feb-06,版合,31.5
Mar-06,版合,11.3
Apr-06,版合,100.8
May-06,版合,129.9
Jun-06,版合,72.6
Jul-06,版合,654.4
Aug-06,版合,143.9
Sep-06,版合,74.4
Oct-06,版合,33
Nov-06,版合,57.2
Dec-06,版合,14.2
Jan-07,版合,4.8
Feb-07,版合,40.3
Mar-07,版合,99.5
Apr-07,版合,26.3
May-07,版合,90.3
Jun-07,版合,129.4
Jul-07,版合,209.8
Aug-07,版合,246.6
Sep-07,版合,364.7
Oct-07,版合,33.1
Nov-07,版合,12.3
Dec-07,版合,25.5
Jan-08,版合,51.4
Feb-08,版合,3.5
Mar-08,版合,44.4
Apr-08,版合,48.1
May-08,版合,73.3
Jun-08,版合,150.8
Jul-08,版合,167.6
Aug-08,版合,207.2
Sep-08,版合,48.4
Oct-08,版合,29.5
Nov-08,版合,14.1
Dec-08,版合,11.9
Jan-09,版合,7.5
Feb-09,版合,21.4
Mar-09,版合,38.9
Apr-09,版合,39.7
May-09,版合,111.2
Jun-09,版合,91.9
Jul-09,版合,326.8
Aug-09,版合,92
Sep-09,版合,71
Oct-09,版合,16
Nov-09,版合,49.8
Dec-09,版合,31.2
Jan-10,版合,17.2
Feb-10,版合,70.1
Mar-10,版合,68.1
Apr-10,版合,60.7
May-10,版合,118.6
Jun-10,版合,26.7
Jul-10,版合,155.8
Aug-10,版合,291.7
Sep-10,版合,179.8
Oct-10,版合,34.8
Nov-10,版合,7.6
Dec-10,版合,25
Jan-11,版合,6.8
Feb-11,版合,77.8
Mar-11,版合,16.7
Apr-11,版合,91.2
May-11,版合,151.6
Jun-11,版合,226.9
Jul-11,版合,288.9
Aug-11,版合,201
Sep-11,版合,75.7
Oct-11,版合,74.7
Nov-11,版合,72.5
Dec-11,版合,23.2
Jan-12,版合,23.3
Feb-12,版合,3.9
Mar-12,版合,83.1
Apr-12,版合,108
May-12,版合,43.1
Jun-12,版合,70.8
Jul-12,版合,236.9
Aug-12,版合,303.5
Sep-12,版合,251.3
Oct-12,版合,33.6
Nov-12,版合,43.3
Dec-12,版合,44
Jan-13,版合,34.8
Feb-13,版合,33.8
Mar-13,版合,52
Apr-13,版合,74.3
May-13,版合,106.6
Jun-13,版合,118.6
Jul-13,版合,187.8
Aug-13,版合,107.9
Sep-13,版合,110.9
Oct-13,版合,111.5
Nov-13,版合,37.4
Dec-13,版合,16.7
Jan-14,版合,8.5
Feb-14,版合,33.6
Mar-14,版合,87.4
Apr-14,版合,111.7
May-14,版合,28
Jun-14,版合,80
Jul-14,版合,90.1
Aug-14,版合,390.9
Sep-14,版合,121.3
Oct-14,版合,140.6
Nov-14,版合,53.4
Dec-14,版合,7.3
Jan-15,版合,18.7
Feb-15,版合,17.9
Mar-15,版合,43.5
Apr-15,版合,84.1
May-15,版合,30.1
Jun-15,版合,91.3
Jul-15,版合,131.7
Aug-15,版合,123.3
Sep-15,版合,63
Oct-15,版合,39.1
Nov-15,版合,128.9
Dec-15,版合,29.6
Jan-16,版合,16.9
Feb-16,版合,26.6
Mar-16,版合,49.9
Apr-16,版合,154.9
May-16,版合,55.4
Jun-16,版合,48.1
Jul-16,版合,283.7
Aug-16,版合,94.1
Sep-16,版合,273.1
Oct-16,版合,131.1
Nov-16,版合,24.2
Dec-16,版合,51.5
Jan-17,版合,12.3
Feb-17,版合,27.2
Mar-17,版合,24.4
Apr-17,版合,71
May-17,版合,23.6
Jun-17,版合,39.6
Jul-17,版合,227.4
Aug-17,版合,227
Sep-17,版合,93.9
Oct-17,版合,75
Nov-17,版合,2.4
Dec-17,版合,11.4
Jan-18,版合,16.4
Feb-18,版合,27.2
Mar-18,版合,119.2
Apr-18,版合,135.9
May-18,版合,97.4
Jun-18,版合,81.5
Jul-18,版合,200
Aug-18,版合,253.9
Sep-18,版合,135.9
Oct-18,版合,200.9
Nov-18,版合,37.4
Dec-18,版合,24.7
Jan-19,版合,8.4
Feb-19,版合,24.3
Mar-19,版合,28.5
Apr-19,版合,92.2
May-19,版合,35
Jun-19,版合,151.3
Jul-19,版合,147.5
Aug-19,版合,150.6
Sep-19,版合,190.2
Oct-19,版合,243.4
Nov-19,版合,49.8
Dec-19,版合,21
Jan-20,版合,82.3
Feb-20,版合,57
Mar-20,版合,20.2
Apr-20,版合,35.2
May-20,版合,75.2
Jun-20,版合,148.4
Jul-20,版合,412.7
Aug-20,版合,297.4
Sep-20,版合,165.9
Oct-20,版合,4.4
Nov-20,版合,32.4
Dec-20,版合,2.2
Jan-21,版合,11.6
Feb-21,版合,12.3
Mar-21,版合,101.2
Apr-21,版合,77.5
May-21,版合,133.8
Jun-21,版合,56.8
Jul-21,版合,199.2
Aug-21,版合,290.7
Sep-21,版合,148.7
Oct-21,版合,84
Nov-21,版合,40.3
Dec-21,版合,1.3
Jan-22,版合,2.6
Feb-22,版合,2.4
Mar-22,版合,74.3
Apr-22,版合,41.6
May-22,版合,4.5
Jun-22,版合,97
Jul-22,版合,129.4
Aug-22,版合,224.5
Sep-22,版合,127.1
Oct-22,版合,68.3
Nov-22,版合,78.5
Dec-22,版合,6.5
Jan-23,版合,23.1
Feb-23,版合,19
Mar-23,版合,32.5
Apr-23,版合,47.1
May-23,版合,150.4
Jun-23,版合,220
Jul-23,版合,403.5
Aug-23,版合,307.2
Sep-23,版合,207.2
Oct-23,版合,10.8
Nov-23,版合,32.2
Dec-23,版合,104.4
Jan-24,版合,21.6
Feb-24,版合,58.7
