斥岿,瘤痢,乞闭扁柯(∩),乞闭弥历扁柯(∩),乞闭弥绊扁柯(∩)
"			1994-01",版合,-0.5,-5.5,5.5
"			1994-02",版合,1.5,-3.8,7.6
"			1994-03",版合,4.6,-0.7,10.5
"			1994-04",版合,13.8,6.7,20.8
"			1994-05",版合,17.6,11.3,23.9
"			1994-06",版合,21.2,15.6,27.1
"			1994-07",版合,28.2,23.4,33.8
"			1994-08",版合,27.3,22.5,32.8
"			1994-09",版合,20.7,14.7,27.5
"			1994-10",版合,14.5,8.7,21.1
"			1994-11",版合,9.3,3.5,16
"			1994-12",版合,2.5,-2.9,8.4
"			1995-01",版合,-1,-6,4.7
"			1995-02",版合,1.7,-4,8.4
"			1995-03",版合,6.1,0.8,12.2
"			1995-04",版合,12.2,4.7,19.4
"			1995-05",版合,16.4,9.7,23
"			1995-06",版合,19.7,14.8,25.2
"			1995-07",版合,25,21,29.7
"			1995-08",版合,26.7,22.5,32.1
"			1995-09",版合,18.9,13.9,24.5
"			1995-10",版合,14.5,8.6,21.4
"			1995-11",版合,6.3,0,13.7
"			1995-12",版合,0,-5.5,6.3
"			1996-01",版合,-0.8,-5.8,5
"			1996-02",版合,-0.2,-5.8,6.1
"			1996-03",版合,4.8,-0.5,10.4
"			1996-04",版合,11.2,4.7,17.6
"			1996-05",版合,17.3,10.9,23.9
"			1996-06",版合,20.7,16.8,25.1
"			1996-07",版合,24,19.8,29.1
"			1996-08",版合,25.1,20.9,30.3
"			1996-09",版合,20.4,15,26.8
"			1996-10",版合,14.4,8.4,21.4
"			1996-11",版合,7.4,2.5,13
"			1996-12",版合,1.8,-3.7,8.8
"			1997-01",版合,-1.1,-6.3,4.8
"			1997-02",版合,1.7,-4.6,8.7
"			1997-03",版合,7.2,1.1,13.8
"			1997-04",版合,12.8,6.4,19.3
"			1997-05",版合,17.5,11.7,23.8
"			1997-06",版合,21.9,16.3,28.2
"			1997-07",版合,24.5,20.5,29.4
"			1997-08",版合,24.9,21.1,29.9
"			1997-09",版合,19.5,14.3,25.6
"			1997-10",版合,13.8,7,21.4
"			1997-11",版合,9.1,3.7,15.2
"			1997-12",版合,2.6,-2.1,8.1
"			1998-01",版合,0.1,-4.5,5.2
"			1998-02",版合,3.9,-1.3,9.7
"			1998-03",版合,8.2,2.3,14.4
"			1998-04",版合,15,9.8,21
"			1998-05",版合,18.2,12.2,24.4
"			1998-06",版合,19.8,16.1,23.9
"			1998-07",版合,23.6,20.7,27.3
